이름,학명,영명,유통명,과명,원산지,TIP,분류,생육형태,생장높이,생장너비,실내정원구성,생태형,잎형태,잎무늬,잎색,꽃피는 계절,꽃색,열매 맺는 계절,열매색,향기,번식방법,번식시기,관리수준,관리요구도,광요구도,배치장소,생장속도,생육적온,겨울최저온도,습도,비료,토양,물주기-봄,물주기-여름,물주기-가을,물주기-겨울,병충해
켄챠야자,Howea forsteriana,"belmore palm, curly palm, kentia palm, paradise palm, thatch leaf palm",,야자과,오스트레일리아,,잎보기식물,직립형,,,"상층목,중층목",일반형,,기타 (무늬없음 등),,,,,,거의 없음,파종,,경험자,필요함,"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)","거실 내측 (실내깊이 300~500cm)
거실 창측 (실내깊이 150~300cm)
발코니 내측 (실내깊이 50~150cm)
발코니 창측 (실내깊이 0~50cm)",,21~25℃,13℃ 이상,40 ~ 70%,비료를 보통 요구함,"포름알데히드, 벤젠, 톨루엔, 자일렌, 트리클로로 에틸렌",토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,"응애,깍지벌레"
코르딜리네 레드에지,Cordyline terminalis 'Rededge',red good luck plant,,백합과,"동남아시아, 오스트레일이라, 폴리네시아",,잎보기식물,직립형,,,"상층목,중층목",일반형,,잎 가장자리 무늬,"녹색, 연두색",,,,,중간,삽목,,경험자,필요함,"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)","거실 창측 (실내깊이 150~300cm)
발코니 내측 (실내깊이 50~150cm)
발코니 창측 (실내깊이 0~50cm)",,21~25℃,13℃ 이상,40 ~ 70%,비료를 보통 요구함,,흙을 촉촉하게 유지함(물에 잠기지 않도록 주의),흙을 촉촉하게 유지함(물에 잠기지 않도록 주의),흙을 촉촉하게 유지함(물에 잠기지 않도록 주의),토양 표면이 말랐을때 충분히 관수함,"응애,깍지벌레"
크로톤,Codiaeum variegatum var. pictum,Joseph's coat,,대극과,동남아시아,pictum,잎보기식물,관목형,,,중층목,일반형,,"줄무늬,점무늬,잎 가장자리 무늬","녹색, 연두색,금색, 노란색,여러색 혼합",,,,,약함,삽목,,경험자,필요함,"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)","거실 창측 (실내깊이 150~300cm)
발코니 내측 (실내깊이 50~150cm)
발코니 창측 (실내깊이 0~50cm)",보통,21~25℃,13℃ 이상,40 ~ 70%,비료를 보통 요구함,,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,화분 흙 대부분 말랐을때 충분히 관수함,"응애,깍지벌레"
크로톤,Codiaeum variegatum var. pictum,Joseph's coat,,대극과,동남아시아,pictum,잎보기식물,관목형,,,중층목,일반형,,"줄무늬,점무늬,잎 가장자리 무늬","녹색, 연두색,금색, 노란색,여러색 혼합",,,,,약함,삽목,,경험자,필요함,"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)","거실 창측 (실내깊이 150~300cm)
발코니 내측 (실내깊이 50~150cm)
발코니 창측 (실내깊이 0~50cm)",,21~25℃,13℃ 이상,40 ~ 70%,비료를 보통 요구함,,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,화분 흙 대부분 말랐을때 충분히 관수함,"응애,깍지벌레"
크로톤,Codiaeum variegatum var. pictum,Joseph's coat,,대극과,동남아시아,pictum,잎보기식물,관목형,,,중층목,일반형,,"줄무늬,점무늬,잎 가장자리 무늬,기타 (무늬없음 등)","녹색, 연두색,금색, 노란색,흰색, 크림색,여러색 혼합",,,,,약함,삽목,,경험자,필요함,"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)","거실 창측 (실내깊이 150~300cm)
발코니 내측 (실내깊이 50~150cm)
발코니 창측 (실내깊이 0~50cm)",보통,21~25℃,13℃ 이상,40 ~ 70%,비료를 보통 요구함,,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,화분 흙 대부분 말랐을때 충분히 관수함,"응애,깍지벌레"
크로톤,Codiaeum variegatum var. pictum,Joseph's coat,,대극과,동남아시아,pictum,잎보기식물,관목형,,,중층목,일반형,,"줄무늬,점무늬,잎 가장자리 무늬,기타 (무늬없음 등)","녹색, 연두색,금색, 노란색,흰색, 크림색,여러색 혼합",,,,,약함,삽목,,경험자,필요함,"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)","거실 창측 (실내깊이 150~300cm)
발코니 내측 (실내깊이 50~150cm)
발코니 창측 (실내깊이 0~50cm)",,21~25℃,13℃ 이상,40 ~ 70%,비료를 보통 요구함,,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,화분 흙 대부분 말랐을때 충분히 관수함,"응애,깍지벌레"
크로톤,Codiaeum variegatum,"garden croton, variegated croton",,대극과,동남아시아,,잎보기식물,관목형,,,중층목,일반형,,"줄무늬,점무늬,잎 가장자리 무늬","녹색, 연두색,금색, 노란색,여러색 혼합",,,,,약함,삽목,,경험자,필요함,"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)","거실 창측 (실내깊이 150~300cm)
발코니 내측 (실내깊이 50~150cm)
발코니 창측 (실내깊이 0~50cm)",보통,21~25℃,13℃ 이상,40 ~ 70%,비료를 보통 요구함,,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,화분 흙 대부분 말랐을때 충분히 관수함,"응애,깍지벌레"
크로톤,Codiaeum variegatum,"garden croton, variegated croton",,대극과,동남아시아,,잎보기식물,관목형,,,중층목,일반형,,"줄무늬,점무늬,잎 가장자리 무늬","녹색, 연두색,금색, 노란색,여러색 혼합",,,,,약함,삽목,,경험자,필요함,"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)","거실 창측 (실내깊이 150~300cm)
발코니 내측 (실내깊이 50~150cm)
발코니 창측 (실내깊이 0~50cm)",,21~25℃,13℃ 이상,40 ~ 70%,비료를 보통 요구함,,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,화분 흙 대부분 말랐을때 충분히 관수함,"응애,깍지벌레"
크로톤,Codiaeum variegatum,"garden croton, variegated croton",,대극과,동남아시아,,잎보기식물,관목형,,,중층목,일반형,,"줄무늬,점무늬,잎 가장자리 무늬,기타 (무늬없음 등)","녹색, 연두색,금색, 노란색,흰색, 크림색,여러색 혼합",,,,,약함,삽목,,경험자,필요함,"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)","거실 창측 (실내깊이 150~300cm)
발코니 내측 (실내깊이 50~150cm)
발코니 창측 (실내깊이 0~50cm)",보통,21~25℃,13℃ 이상,40 ~ 70%,비료를 보통 요구함,,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,화분 흙 대부분 말랐을때 충분히 관수함,"응애,깍지벌레"
크로톤,Codiaeum variegatum,"garden croton, variegated croton",,대극과,동남아시아,,잎보기식물,관목형,,,중층목,일반형,,"줄무늬,점무늬,잎 가장자리 무늬,기타 (무늬없음 등)","녹색, 연두색,금색, 노란색,흰색, 크림색,여러색 혼합",,,,,약함,삽목,,경험자,필요함,"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)","거실 창측 (실내깊이 150~300cm)
발코니 내측 (실내깊이 50~150cm)
발코니 창측 (실내깊이 0~50cm)",,21~25℃,13℃ 이상,40 ~ 70%,비료를 보통 요구함,,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,화분 흙 대부분 말랐을때 충분히 관수함,"응애,깍지벌레"
크립탄서스,Cryptanthus spp.,"earth stars, starfish plant",,파인애플과,브라질,,잎보기식물,로제트형,,,,,,줄무늬,"녹색, 연두색,여러색 혼합",,,,,,분주,,,필요함,"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)","거실 창측 (실내깊이 150~300cm)
발코니 내측 (실내깊이 50~150cm)
발코니 창측 (실내깊이 0~50cm)",,21~25℃,13℃ 이상,40 ~ 70%,비료를 보통 요구함,,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,
클레마티스,Clematis florida,clematis,,미나리아재비과,중국,"원예교배종/관화, 덩굴성 식물/실외 울타리, 실내 공중걸이 화분",꽃보기식물,덩굴성,,,중층목,일반형,,기타 (무늬없음 등),"녹색, 연두색","봄,여름","보라색,분홍색,빨강색,흰색",,,약함,삽목,,경험자,낮음 (잘 견딤),"높은 광도(1,500~10,000 Lux)",발코니 창측 (실내깊이 0~50cm),빠름,21~25℃,0℃ 이하,,2주 1회 정도 복합비료 필요,,흙을 촉촉하게 유지함(물에 잠기지 않도록 주의),흙을 촉촉하게 유지함(물에 잠기지 않도록 주의),흙을 촉촉하게 유지함(물에 잠기지 않도록 주의),토양 표면이 말랐을때 충분히 관수함,"응애,온실가루이"
털달개비,Tradescantia sillamontana,"White Velvet, White Gossamer",털달개비,닭의장풀과,중앙아메리카,,잎&꽃보기식물,다육형,,,하층목,건조형,,기타 (무늬없음 등),"녹색, 연두색,은색, 회색","봄,여름","보라색,분홍색",,,거의 없음,삽목,,경험자,보통 (약간 잘 견딤),"높은 광도(1,500~10,000 Lux)","거실 창측 (실내깊이 150~300cm)
발코니 내측 (실내깊이 50~150cm)
발코니 창측 (실내깊이 0~50cm)",느림,21~25℃,13℃ 이상,40 ~ 70%,,,화분 흙 대부분 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,화분 흙 대부분 말랐을때 충분히 관수함,응애
털머위,Farfugium japonicum,leopard plant,,국화과,"한국남해안, 일본, 대만, 중국",,잎&꽃보기식물,풀모양,,,하층목,일반형,,기타 (무늬없음 등),"녹색, 연두색","봄,여름",노랑색,,,거의 없음,"파종,분주",,,보통 (약간 잘 견딤),"낮은 광도(300~800 Lux),중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)","거실 창측 (실내깊이 150~300cm)
발코니 내측 (실내깊이 50~150cm)
발코니 창측 (실내깊이 0~50cm)",,16~20℃,5℃,40 ~ 70%,비료를 보통 요구함,,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,"응애,깍지벌레,온실가루이"
테이블야자,Chamaedorea elegans,"parlour palm, good luck palm, neanthe bella",,야자과,멕시코 과테말라,"책상 위에 올려놓고 키운다 하여 탁상야자, 테이블야자라고 불림",잎보기식물,직립형,,,상층목,일반형,,기타 (무늬없음 등),"녹색, 연두색",,,,,약함,"파종,분주,기타",,초보자,보통 (약간 잘 견딤),"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)","실내 어두운 곳 (실내깊이 500 이상cm)
거실 내측 (실내깊이 300~500cm)
거실 창측 (실내깊이 150~300cm)
발코니 내측 (실내깊이 50~150cm)
발코니 창측 (실내깊이 0~50cm)",보통,21~25℃,13℃ 이상,40 ~ 70%,비료를 보통 요구함,"포름알데히드, 벤젠, 톨루엔, 트리클로로 에틸렌, 암모니아",흙을 촉촉하게 유지함(물에 잠기지 않도록 주의),흙을 촉촉하게 유지함(물에 잠기지 않도록 주의),흙을 촉촉하게 유지함(물에 잠기지 않도록 주의),화분 흙 대부분 말랐을때 충분히 관수함,"응애,깍지벌레"
톨미아,Tolmiea menziesii,"piggyback plant, youth an age, mother of thousands",,범의귀과,북아메리카의 서해안,,잎보기식물,풀모양,,,"중층목,하층목",일반형,,"점무늬,기타 (무늬없음 등)","녹색, 연두색,흰색, 크림색",,,,,거의 없음,분주,,경험자,필요함,"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)","거실 내측 (실내깊이 300~500cm)
거실 창측 (실내깊이 150~300cm)
발코니 내측 (실내깊이 50~150cm)
발코니 창측 (실내깊이 0~50cm)",,21~25℃,10℃,40 ~ 70%,비료를 보통 요구함,,,,,,"진딧물,응애,온실가루이"
틸란드시아,Tillandsia cyanea,"blue-flowered torch, pink quill",,파인애플과,"페루, 에콰도르","파인애플과 난종류가 아님, 열대식물로 추위에는 약함",잎&꽃보기식물,로제트형,,,하층목,"일반형,건조형",,기타 (무늬없음 등),"녹색, 연두색","봄,겨울","보라색,분홍색",,,거의 없음,"분주,기타",,경험자,필요함,"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)","거실 창측 (실내깊이 150~300cm)
발코니 내측 (실내깊이 50~150cm)",느림,21~25℃,10℃,40 ~ 70%,비료를 보통 요구함,,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,화분 흙 대부분 말랐을때 충분히 관수함,응애
파키라,Pachira aquatica,"guiana chestnut,malaba chestnut, provision tree, sava nut, money tree, money plant",,물밤나무과,중앙 아메리카,,잎보기식물,직립형,,,상층목,일반형,,기타 (무늬없음 등),"녹색, 연두색",,,,,거의 없음,파종,,경험자,필요함,"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)","거실 내측 (실내깊이 300~500cm)
거실 창측 (실내깊이 150~300cm)
발코니 내측 (실내깊이 50~150cm)",,21~25℃,13℃ 이상,40 ~ 70%,비료를 보통 요구함,,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,화분 흙 대부분 말랐을때 충분히 관수함,"응애,깍지벌레"
파피오페딜럼,Paphiopedilum hybrids,Lady's slipper,파피오페딜럼,난초과,열대 및 아열대 아시아,,잎&꽃보기식물,풀모양,,,하층목,"일반형,건조형",,"점무늬,기타 (무늬없음 등)","녹색, 연두색","봄,여름","보라색,분홍색,빨강색,노랑색,흰색,혼합색",,,약함,"분주,기타",,전문가,필요함,"중간 광도(800~1,500 Lux)","거실 창측 (실내깊이 150~300cm)
발코니 내측 (실내깊이 50~150cm)
발코니 창측 (실내깊이 0~50cm)",느림,21~25℃,10℃,70% 이상,,,화분 흙 대부분 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,화분 흙 대부분 말랐을때 충분히 관수함,깍지벌레
팔레놉시스(호접란),Phalaenopsis spp.,Phalaenopsis,,난초과,동남아시아,,잎&꽃보기식물,"로제트형, 다육형",,,하층목,"일반형,건조형",,,"녹색, 연두색","봄,여름,겨울","분홍색,오렌지색,노랑색,흰색,혼합색",,,약함,기타,,전문가,특별 관리 요구,"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)","거실 내측 (실내깊이 300~500cm)
거실 창측 (실내깊이 150~300cm)
발코니 내측 (실내깊이 50~150cm)
발코니 창측 (실내깊이 0~50cm)",느림,21~25℃,13℃ 이상,40 ~ 70%,비료를 보통 요구함,,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,화분 흙 대부분 말랐을때 충분히 관수함,깍지벌레
팔손이나무,Fatsia japonica,"japanese fatsia, formosa rice tree, paper plant, false caster oil plant, fig leaf palm, japanese aralia",,두릅나무과,"한국 남해안, 일본","꽃말 '분별, 비밀' (손처럼 생긴 넓은 잎이 8갈래로 갈라져 팔손이로 불림)",잎&꽃보기식물,관목형,,,"상층목,중층목",일반형,,기타 (무늬없음 등),"녹색, 연두색",,,,,약함,"파종,삽목",,초보자,낮음 (잘 견딤),"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)","거실 내측 (실내깊이 300~500cm)
거실 창측 (실내깊이 150~300cm)
발코니 내측 (실내깊이 50~150cm)
발코니 창측 (실내깊이 0~50cm)",보통,16~20℃,5℃,40 ~ 70%,비료를 보통 요구함,,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,화분 흙 대부분 말랐을때 충분히 관수함,"응애,깍지벌레"
팬더 고무나무,Ficus panda,Ficus Panda,,뽕나무과,,,잎보기식물,관목형,,,"상층목,중층목",일반형,,기타 (무늬없음 등),"녹색, 연두색",,,,,거의 없음,"삽목,접목",,경험자,보통 (약간 잘 견딤),"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)","거실 창측 (실내깊이 150~300cm)
발코니 내측 (실내깊이 50~150cm)
발코니 창측 (실내깊이 0~50cm)",보통,21~25℃,13℃ 이상,40 ~ 70%,비료를 보통 요구함,,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,화분 흙 대부분 말랐을때 충분히 관수함,"응애,깍지벌레"
팻츠헤데라,Fatshedera lizei,"miracle plant, ivy tree, tree-ivy",,두릅나무과,칠레,,잎보기식물,직립형,,,"상층목,중층목",일반형,,기타 (무늬없음 등),"녹색, 연두색",,,,,약함,삽목,,초보자,보통 (약간 잘 견딤),"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)","거실 창측 (실내깊이 150~300cm)
발코니 내측 (실내깊이 50~150cm)
발코니 창측 (실내깊이 0~50cm)",,16~20℃,10℃,40 ~ 70%,비료를 보통 요구함,,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,"응애,깍지벌레"
페페로미아 오브투시폴리아,Peperomia obtusifolia,"desert privet, pepper face, baby rubber plant",,후추과,중앙 아메리카,,잎보기식물,"풀모양, 다육형",,,"하층목,지피식물",일반형,,"잎 가장자리 무늬,기타 (무늬없음 등)","녹색, 연두색,은색, 회색",,,,,거의 없음,삽목,,경험자,보통 (약간 잘 견딤),"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)","거실 내측 (실내깊이 300~500cm)
거실 창측 (실내깊이 150~300cm)
발코니 내측 (실내깊이 50~150cm)",,21~25℃,13℃ 이상,40 ~ 70%,비료를 보통 요구함,,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,화분 흙 대부분 말랐을때 충분히 관수함,"응애,깍지벌레"
페페로미아 클루시폴리아,Peperomia clusiifolia,red edge peperomia,,후추과,중앙 아메리카,,잎보기식물,"풀모양, 다육형",,,하층목,일반형,,"잎 가장자리 무늬,기타 (무늬없음 등)","녹색, 연두색",,,,,약함,삽목,,경험자,보통 (약간 잘 견딤),"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)","거실 내측 (실내깊이 300~500cm)
거실 창측 (실내깊이 150~300cm)
발코니 내측 (실내깊이 50~150cm)",,21~25℃,13℃ 이상,40 ~ 70%,비료를 보통 요구함,,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,화분 흙 대부분 말랐을때 충분히 관수함,"응애,깍지벌레"
페페로미아 푸테올라타,Peperomia puteolata,Parallel Peperomia,,후추과,중앙 아메리카,,잎보기식물,"풀모양, 다육형",,,하층목,일반형,,줄무늬,"녹색, 연두색,흰색, 크림색",,,,,약함,삽목,,경험자,필요함,"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)","거실 내측 (실내깊이 300~500cm)
거실 창측 (실내깊이 150~300cm)
발코니 내측 (실내깊이 50~150cm)
발코니 창측 (실내깊이 0~50cm)",,21~25℃,13℃ 이상,40 ~ 70%,비료를 보통 요구함,,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,화분 흙 대부분 말랐을때 충분히 관수함,"응애,깍지벌레"
포인세티아,Euphorbia pulcherrima,"poinsettia, christmas flower, painted leaf, lobster plant",,대극과,멕시코,,잎&꽃보기식물,관목형,,,"상층목,중층목",일반형,,기타 (무늬없음 등),"녹색, 연두색","봄,겨울","분홍색,빨강색,노랑색,흰색,혼합색",,,거의 없음,삽목,,경험자,필요함,"높은 광도(1,500~10,000 Lux)","거실 창측 (실내깊이 150~300cm)
발코니 내측 (실내깊이 50~150cm)
발코니 창측 (실내깊이 0~50cm)",,21~25℃,13℃ 이상,40 ~ 70%,비료를 보통 요구함,,흙을 촉촉하게 유지함(물에 잠기지 않도록 주의),흙을 촉촉하게 유지함(물에 잠기지 않도록 주의),흙을 촉촉하게 유지함(물에 잠기지 않도록 주의),토양 표면이 말랐을때 충분히 관수함,"응애,깍지벌레,온실가루이"
폴리시아스,Polyscias balfouriana 'Marginata',"dinner plate aralia, balfour aralia","폴리샤스, 폴리시아스 (추천유통명: 폴리시아스)",두릅나무과,뉴칼레도니아,,잎보기식물,관목형,,,"상층목,중층목",일반형,,잎 가장자리 무늬,"녹색, 연두색,흰색, 크림색",,,,,거의 없음,삽목,,경험자,필요함,"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)","거실 내측 (실내깊이 300~500cm)
거실 창측 (실내깊이 150~300cm)
발코니 내측 (실내깊이 50~150cm)",,21~25℃,13℃ 이상,40 ~ 70%,비료를 보통 요구함,,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,화분 흙 대부분 말랐을때 충분히 관수함,"응애,깍지벌레"
푸밀라고무나무,Ficus pumila,creeping fig,,뽕나무과,"한국, 일본, 중국남부","덩굴성 관엽식물/실내화단 지피용, 목부작, 석부작 등",잎보기식물,덩굴성,,,지피식물,일반형,,기타 (무늬없음 등),"녹색, 연두색",,,,,거의 없음,삽목,,,필요함,"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)","거실 창측 (실내깊이 150~300cm)
발코니 내측 (실내깊이 50~150cm)
발코니 창측 (실내깊이 0~50cm)",,21~25℃,10℃,40 ~ 70%,비료를 보통 요구함,,흙을 촉촉하게 유지함(물에 잠기지 않도록 주의),흙을 촉촉하게 유지함(물에 잠기지 않도록 주의),흙을 촉촉하게 유지함(물에 잠기지 않도록 주의),토양 표면이 말랐을때 충분히 관수함,"응애,깍지벌레,온실가루이"
프테리스,Pteris cretica,Cretan brake,,고사리과,"한국, 일본, 중국,동남아시아","화분식물, 실내정원의 아랫부분에 색상을 주고 싶을 때 사용",잎보기식물,풀모양,,,하층목,일반형,,"줄무늬,기타 (무늬없음 등)","녹색, 연두색,흰색, 크림색",,,,,,"파종,분주,기타",,초보자,보통 (약간 잘 견딤),"낮은 광도(300~800 Lux),중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)","실내 어두운 곳 (실내깊이 500 이상cm)
거실 내측 (실내깊이 300~500cm)
거실 창측 (실내깊이 150~300cm)
발코니 내측 (실내깊이 50~150cm)
발코니 창측 (실내깊이 0~50cm)",,21~25℃,5℃,70% 이상,비료를 보통 요구함,,흙을 촉촉하게 유지함(물에 잠기지 않도록 주의),흙을 촉촉하게 유지함(물에 잠기지 않도록 주의),흙을 촉촉하게 유지함(물에 잠기지 않도록 주의),토양 표면이 말랐을때 충분히 관수함,"응애,깍지벌레"
피라칸사,Pyracantha coccinea,"firethorn, scarlet firethorn",,장미과,,,"잎&꽃보기식물, 열매보기식물",관목형,,,"상층목,중층목",일반형,,"잎 가장자리 무늬,기타 (무늬없음 등)","녹색, 연두색,흰색, 크림색",봄,흰색,,"빨강색,오렌지색,노랑색",강함,삽목,,경험자,낮음 (잘 견딤),"높은 광도(1,500~10,000 Lux)","발코니 내측 (실내깊이 50~150cm)
발코니 창측 (실내깊이 0~50cm)",빠름,16~20℃,0℃ 이하,40 ~ 70%,비료를 보통 요구함,,흙을 촉촉하게 유지함(물에 잠기지 않도록 주의),흙을 촉촉하게 유지함(물에 잠기지 않도록 주의),토양 표면이 말랐을때 충분히 관수함,화분 흙 대부분 말랐을때 충분히 관수함,"응애,깍지벌레"
피토니아 핑크스타,Fittonia verschaffeltii 'Pink Star',"Mosaic Plant, Nerve Plant, Painted Net Leaf",,쥐꼬리망초과,"남아메리카, 페루",,잎보기식물,풀모양,,,"하층목,지피식물",일반형,,"줄무늬,잎 가장자리 무늬",여러색 혼합,,,,,거의 없음,"삽목,분주",,경험자,특별 관리 요구,"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)","거실 내측 (실내깊이 300~500cm)
거실 창측 (실내깊이 150~300cm)
발코니 내측 (실내깊이 50~150cm)",보통,21~25℃,13℃ 이상,40 ~ 70%,비료를 보통 요구함,,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,화분 흙 대부분 말랐을때 충분히 관수함,"응애,온실가루이"
피토니아 화이트스타,Fittonia verschaffelti 'White Star',"Mosaic Plant, Nerve Plant, Painted Net Leaf",,쥐꼬리망초과,"남아메리카, 페루",,잎보기식물,풀모양,,,"하층목,지피식물",일반형,,"줄무늬,잎 가장자리 무늬","녹색, 연두색,흰색, 크림색",,,,,,"삽목,분주",,경험자,필요함,"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)","거실 내측 (실내깊이 300~500cm)
거실 창측 (실내깊이 150~300cm)
발코니 내측 (실내깊이 50~150cm)",,21~25℃,13℃ 이상,40 ~ 70%,비료를 보통 요구함,,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,화분 흙 대부분 말랐을때 충분히 관수함,"응애,온실가루이"
픽투라툼 접란,Chlorophytum comosum 'Picturatum',"spider plant, spider ivy, ribbon plant",,백합과,아프리카,,잎보기식물,풀모양,,,하층목,"일반형,수경형",,줄무늬,"녹색, 연두색,흰색, 크림색",,,,,약함,분주,,초보자,보통 (약간 잘 견딤),"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)","거실 창측 (실내깊이 150~300cm)
발코니 내측 (실내깊이 50~150cm)
발코니 창측 (실내깊이 0~50cm)",보통,21~25℃,13℃ 이상,40 ~ 70%,비료를 보통 요구함,,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,화분 흙 대부분 말랐을때 충분히 관수함,"응애,깍지벌레"
"필레아 글라우카(타라, 블루체인)",Pilea grauca,Friendship Plant,"타라, 블루체인",쐐기풀과,남아프리카,"덩굴성 관엽식물/실내화단 지피용, 공중걸이, 실내화분 등",잎보기식물,"풀모양, 다육형",,,지피식물,일반형,,기타 (무늬없음 등),"녹색, 연두색,은색, 회색",,,,,거의 없음,"삽목,분주",,초보자,보통 (약간 잘 견딤),"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)","거실 내측 (실내깊이 300~500cm)
거실 창측 (실내깊이 150~300cm)
발코니 내측 (실내깊이 50~150cm)
발코니 창측 (실내깊이 0~50cm)",보통,21~25℃,13℃ 이상,40 ~ 70%,비료를 보통 요구함,,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,화분 흙 대부분 말랐을때 충분히 관수함,"응애,깍지벌레"
